ID;Área;Equipamento;QT_UN_APREENDIDAS;QT_UN_LACRADAS;QT_UN_RETIDAS;Valor Estimado;QT_UN_RETIRADAS;Mês;Data;DT_EXTRACAO;Ano
78213;;Carregadores de Baterias;;;12500;250000,00;12500;dez;15/12/2021;06/08/2023;2021
78213;;Equipamento de Radiação Restrita;;;5500;1083000,00;5500;dez;15/12/2021;06/08/2023;2021
39639;3-E-commerce;Equipamento de Radiação Restrita;;;;0,00;0;mai;12/05/2020;06/08/2023;2020
39635;3-E-commerce;Equipamento de Radiação Restrita;;;;0,00;0;mai;12/05/2020;06/08/2023;2020
39631;3-E-commerce;Equipamento de Radiação Restrita;;;;0,00;0;mai;11/05/2020;06/08/2023;2020
39624;3-E-commerce;Outros;0;0;;0,00;0;mai;14/05/2020;06/08/2023;2020
39633;3-E-commerce;Equipamento de Radiação Restrita;;;;0,00;0;mai;11/05/2020;06/08/2023;2020
55819;1-Comércio;SmartTV Box;20;;;0,00;20;ago;06/08/2021;06/08/2023;2021
55819;1-Comércio;Outros;2;;;0,00;2;ago;06/08/2021;06/08/2023;2021
36995;1-Comércio;Equipamento de Radiação Restrita;;3;;0,00;3;ago;20/08/2020;06/08/2023;2020
55819;1-Comércio;SmartTV Box;1;;;0,00;1;ago;06/08/2021;06/08/2023;2021
55819;1-Comércio;Equipamento de Radiação Restrita;2;;;0,00;2;ago;06/08/2021;06/08/2023;2021
85225;1-Comércio;Baterias;2;0;;46,46;2;jul;21/07/2022;06/08/2023;2022
36995;1-Comércio;Equipamento de Radiação Restrita;;5;;0,00;5;ago;20/08/2020;06/08/2023;2020
36995;1-Comércio;Equipamento de Radiação Restrita;;1;;0,00;1;ago;20/08/2020;06/08/2023;2020
85583;1-Comércio;Outros;;26;;42000,00;26;ago;22/08/2022;06/08/2023;2022
36995;1-Comércio;Equipamento de Radiação Restrita;;1;;0,00;1;ago;20/08/2020;06/08/2023;2020
36995;1-Comércio;Equipamento de Radiação Restrita;;1;;0,00;1;ago;20/08/2020;06/08/2023;2020
36995;1-Comércio;Equipamento de Radiação Restrita;;8;;0,00;8;ago;20/08/2020;06/08/2023;2020
36995;1-Comércio;Equipamento de Radiação Restrita;;3;;0,00;3;ago;20/08/2020;06/08/2023;2020
85225;1-Comércio;Equipamento de Radiação Restrita;1927;0;;206247,64;1927;jul;21/07/2022;06/08/2023;2022
85225;1-Comércio;Celulares;0;0;;0,00;0;jul;21/07/2022;06/08/2023;2022
36995;1-Comércio;Outros;;8;;0,00;8;ago;20/08/2020;06/08/2023;2020
36995;1-Comércio;Celular e acessórios;;2;;0,00;2;ago;20/08/2020;06/08/2023;2020
